"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2"
768805383,"Existing Customer",45,"M",3,"High School","Married","$60K - $80K","Blue",39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991
713982108,"Existing Customer",51,"M",3,"Graduate","Married","$80K - $120K","Blue",36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0,2.1081e-05,0.99998
709106358,"Existing Customer",40,"M",3,"Uneducated","Married","$60K - $80K","Blue",21,5,1,0,4716,0,4716,2.175,816,28,2.5,0,2.1676e-05,0.99998
713061558,"Existing Customer",44,"M",2,"Graduate","Married","$40K - $60K","Blue",36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994
810347208,"Existing Customer",51,"M",4,"Unknown","Married","$120K +","Gold",46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066,0.00012303,0.99988
710821833,"Existing Customer",65,"M",1,"Unknown","Married","$40K - $60K","Blue",54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,0.00019751,0.9998
712396908,"Existing Customer",57,"F",2,"Graduate","Married","Less than $40K","Blue",48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,0.00011382,0.99989
753327333,"Existing Customer",41,"M",3,"Unknown","Married","$80K - $120K","Blue",34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,0.00014953,0.99985
806160108,"Existing Customer",61,"M",1,"High School","Married","$40K - $60K","Blue",56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,0.00017468,0.99983
709327383,"Existing Customer",45,"F",2,"Graduate","Married","Unknown","Blue",37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994
708508758,"Attrited Customer",62,"F",0,"Graduate","Married","Less than $40K","Blue",49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,0.99616,0.0038363
784725333,"Existing Customer",41,"M",3,"High School","Married","$40K - $60K","Blue",33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,6.9242e-05,0.99993
789124683,"Existing Customer",54,"M",2,"Unknown","Married","$80K - $120K","Blue",42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,0.00021042,0.99979
804424383,"Existing Customer",63,"M",1,"Unknown","Married","$60K - $80K","Blue",56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099,0.00018558,0.99981
806624208,"Existing Customer",47,"M",4,"High School","Married","$40K - $60K","Blue",42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285,7.6642e-06,0.99999
778348233,"Existing Customer",53,"M",3,"Unknown","Married","$80K - $120K","Blue",33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658,0.00021834,0.99978
712991808,"Existing Customer",53,"M",2,"Uneducated","Married","$60K - $80K","Blue",48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69,0.00012458,0.99988
709029408,"Existing Customer",41,"M",4,"Graduate","Married","$60K - $80K","Blue",36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282,5.7762e-05,0.99994
788658483,"Existing Customer",53,"F",2,"College","Married","Less than $40K","Blue",38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562,0.00018612,0.99981
787937058,"Existing Customer",58,"M",0,"Graduate","Married","$80K - $120K","Blue",49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135,9.7673e-05,0.9999
713962233,"Existing Customer",55,"F",3,"Graduate","Married","Less than $40K","Blue",36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757,0.00019864,0.9998
785432733,"Existing Customer",42,"F",4,"High School","Married","Less than $40K","Gold",36,2,3,3,15433,0,15433,0.865,966,22,1.2,0,0.00035532,0.99964
708300483,"Attrited Customer",66,"F",0,"Doctorate","Married","Unknown","Blue",56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,0.9978,0.00219708
758551608,"Existing Customer",51,"M",2,"Unknown","Married","$40K - $60K","Blue",44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,2.2331e-05,0.99998
778493808,"Existing Customer",49,"M",3,"High School","Married","$60K - $80K","Blue",37,5,2,1,3906,0,3906,1.214,1756,32,1,0,6.9242e-05,0.99993
789172683,"Existing Customer",56,"M",2,"Doctorate","Married","$60K - $80K","Blue",45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,6.0759e-05,0.99994
738406533,"Existing Customer",59,"M",1,"Doctorate","Married","$40K - $60K","Blue",52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,0.0001546,0.99985
799723908,"Existing Customer",46,"M",3,"High School","Married","$80K - $120K","Blue",40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,0.00030516,0.99969
720756708,"Existing Customer",52,"F",3,"Unknown","Married","Less than $40K","Blue",41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,0.00020516,0.99979
